iter	Passed	Remaining
0	0	68
1	1	56
2	1	51
3	1	46
4	2	45
5	2	44
6	3	50
7	4	49
8	4	48
9	5	46
10	5	45
11	6	44
12	6	43
13	6	42
14	7	42
15	7	41
16	8	40
17	8	39
18	9	39
19	9	38
20	10	38
21	10	37
22	11	36
23	11	36
24	11	35
25	12	35
26	12	34
27	13	34
28	13	33
29	14	33
30	14	32
31	15	31
32	15	31
33	15	30
34	16	30
35	16	29
36	17	29
37	17	28
38	18	28
39	18	27
40	19	27
41	19	26
42	19	26
43	20	25
44	20	25
45	21	24
46	21	24
47	21	23
48	22	23
49	22	22
50	23	22
51	23	21
52	24	21
53	24	20
54	24	20
55	25	19
56	25	19
57	26	18
58	26	18
59	27	18
60	27	17
61	27	17
62	28	16
63	28	16
64	29	15
65	29	15
66	30	14
67	30	14
68	31	13
69	31	13
70	32	13
71	32	12
72	32	12
73	33	11
74	33	11
75	34	10
76	34	10
77	35	9
78	35	9
79	36	9
80	36	8
81	36	8
82	37	7
83	37	7
84	38	6
85	38	6
86	39	5
87	39	5
88	40	4
89	40	4
90	40	4
91	41	3
92	41	3
93	42	2
94	42	2
95	43	1
96	43	1
97	44	0
98	44	0
99	45	0
