iter	Passed	Remaining
0	0	700
1	1	673
2	1	641
3	2	633
4	3	604
5	3	591
6	4	606
7	4	595
8	5	590
9	5	588
10	6	588
11	7	586
12	7	582
13	8	584
14	8	586
15	9	586
16	10	587
17	11	600
18	11	602
19	12	607
20	13	606
21	13	610
22	14	609
23	14	608
24	15	606
25	16	604
26	17	613
27	17	613
28	18	609
29	18	608
30	19	605
31	19	602
32	20	600
33	21	599
34	21	595
35	22	593
36	22	593
37	23	596
38	24	596
39	24	594
40	25	594
41	26	595
42	26	596
43	27	595
44	27	593
45	28	591
46	29	589
47	29	589
48	30	588
49	30	586
50	31	586
51	32	587
52	32	586
53	33	585
54	33	584
55	34	582
56	35	581
57	35	584
58	36	585
59	37	585
60	38	586
61	38	585
62	39	586
63	40	585
64	40	585
65	41	584
66	42	586
67	42	589
68	43	589
69	44	590
70	44	588
71	45	587
72	46	586
73	46	584
74	47	582
75	48	585
76	48	586
77	49	586
78	50	585
79	50	585
80	51	584
81	52	583
82	52	578
83	52	577
84	53	575
85	54	575
86	54	574
87	55	573
88	55	572
89	56	571
90	57	570
91	57	568
92	58	566
93	58	565
94	59	564
95	59	563
96	60	563
97	61	562
98	61	561
99	62	560
100	62	559
101	63	558
102	63	557
103	64	556
104	65	555
105	65	553
106	66	552
107	67	555
108	68	556
109	68	556
110	70	560
111	70	559
112	71	558
113	71	557
114	72	556
115	73	557
116	73	555
117	74	554
118	74	553
119	75	552
120	75	551
121	76	549
122	76	548
123	77	548
124	78	547
125	78	546
126	79	545
127	80	546
128	81	548
129	81	547
130	82	546
131	82	545
132	83	544
133	84	543
134	84	542
135	85	541
136	86	542
137	86	541
138	87	541
139	87	540
140	88	539
141	88	537
142	89	536
143	90	535
144	90	534
145	91	533
146	91	533
147	92	533
148	93	532
149	93	532
150	94	531
151	95	531
152	95	530
153	96	530
154	97	529
155	97	528
156	98	527
157	99	527
158	99	526
159	100	526
160	100	524
161	101	524
162	101	523
163	102	522
164	103	521
165	103	520
166	104	519
167	105	520
168	105	519
169	106	519
170	107	519
171	107	518
172	108	518
173	109	517
174	109	517
175	110	516
176	111	517
177	111	516
178	112	515
179	113	515
180	113	514
181	114	513
182	114	512
183	115	512
184	116	511
185	116	511
186	117	511
187	118	511
188	119	510
189	119	509
190	120	509
191	120	508
192	121	507
193	122	507
194	122	507
195	123	506
196	124	506
197	125	508
198	125	507
199	126	505
200	126	504
201	127	503
202	127	502
203	128	501
204	129	500
205	129	499
206	130	498
207	130	497
208	131	496
209	131	495
210	132	495
211	132	493
212	133	493
213	134	492
214	134	491
215	135	491
216	135	490
217	136	489
218	137	488
219	137	488
220	138	487
221	139	487
222	139	487
223	140	486
224	141	486
225	141	485
226	142	485
227	143	485
228	144	484
229	144	484
230	145	483
231	145	483
232	146	482
233	147	481
234	147	480
235	148	480
236	149	479
237	149	479
238	150	479
239	151	479
240	151	478
241	152	477
242	153	476
